,0
34,"[101.12254972499827, 190.0674619486591, 183.2795615235727, -156.13013998675686, 57.644620146324066, -206.76980658799644, -106.15220603249216, -137.04592945457875, -175.4618982861572, -226.13144533485308, 170.71455574459614, 201.73258486925127, 6.867757122372879, 170.6021177875359, -87.8661287763558, -163.26266657440448, -17.500422864769014, -11.46190640881457, -94.13240995656858, -193.79588511614918, -74.26585870959234, 127.32566596354543, -175.34897292843436, 195.12648144068584, 151.20954970311678, 31.1541032073046, -69.18553939621367, -106.14258019843263, -43.682236856596624, 50.656956540744126, 130.9096727472335]"
35,"[101.23134676281488, 190.19137920089284, 183.31828505755584, -156.18148865817358, 57.503249903568886, -206.82174160839222, -106.43943417776549, -137.15410502063685, -175.65940049083363, -225.9220344033699, 170.6993131351014, 201.76754994017622, 6.687588809297786, 170.64441666862723, -88.14406122231134, -163.28642025465206, -17.78652370950102, -11.23569893116855, -94.26406036542069, -193.59332671146444, -74.15037663112312, 127.59353239737447, -175.48769516611924, 195.68059325695106, 151.52755772463485, 31.644082543667004, -68.90861288311106, -105.75344104564834, -43.952894955611065, 51.107612994221284, 130.82524042130183]"
36,"[101.41929531717463, 190.24677504268251, 183.38675571404914, -156.3097728233072, 57.622989113796855, -206.54270793243592, -106.66920136865451, -137.33279309349138, -175.72810666025595, -225.84731218776324, 170.54316097673006, 201.9090788776766, 6.762488316913036, 170.41133922505918, -88.3926523799362, -163.21304331906902, -18.021626273252807, -11.501060048721747, -94.14921982129681, -193.51922304596405, -73.96817893773826, 127.67498760754974, -175.6241254490884, 196.04408266649344, 151.77616549056896, 32.22254536018309, -68.48325415101685, -105.70784269607604, -44.16968192359835, 51.45911781833423, 130.67696595505208]"
37,"[101.41594921780234, 190.2214380002055, 183.30755246206513, -156.28803188314464, 57.3671045280713, -206.55942532702457, -106.95099188110271, -137.35775536260937, -175.8249370237515, -225.6319253627597, 170.37846248794352, 201.9698476582921, 6.662314485619888, 170.32080375631148, -88.28360569008032, -163.1096464894989, -18.19139800629589, -11.584970467155841, -93.8164328578549, -193.365932580964, -74.13162396762206, 127.55032697201298, -175.83790980677202, 196.4081228870243, 152.02628412992715, 32.690551202677455, -68.17525201213331, -105.72251584916208, -44.35065149786773, 51.64948546506082, 130.7976692798741]"
38,"[101.4934293180769, 190.04636937554088, 183.51701964379123, -156.55369232635292, 57.10373468661273, -206.5541822939216, -106.96079929933424, -137.4953260938918, -175.8048355616781, -225.3952166802186, 170.17914462612325, 202.08793659322512, 6.5966380700621485, 170.3031081105741, -88.47588695066065, -162.84110026258622, -18.360662062169112, -11.839857528409865, -93.64498317731847, -193.71621072230306, -74.08603859600876, 127.39961524928268, -175.79216696677153, 196.55940873786764, 152.0275459921584, 33.04490945940316, -67.9962476559408, -105.79141634326314, -44.47556001886494, 51.744707695412416, 131.08844690149778]"
39,"[101.45063925323456, 189.9620258110628, 183.2654396274472, -156.67397841076686, 57.032041868850605, -206.55055122088854, -106.93818317779954, -137.60769288896995, -175.67770841454796, -225.0830909941284, 170.15106043985446, 202.05103500204282, 6.7357142042319325, 170.2336659812386, -88.46565526855856, -162.5317056038394, -18.42847297083884, -12.008089957053315, -93.40815445472177, -194.05015915074927, -74.12564608712131, 127.19014393217108, -175.67367076575957, 196.4924580920224, 151.7393717262262, 33.18770444458109, -67.6736063982389, -105.87334688941247, -44.23241195398332, 51.69789330722191, 131.37314263473826]"
40,"[101.54715274915617, 189.7128586066018, 183.1562942630369, -156.50774582683684, 57.05499787033526, -206.4765463925668, -106.80140506993635, -137.6227363128751, -175.52993840701853, -225.11804112276792, 170.04411849841276, 202.11389883993243, 6.585123222693014, 170.30577396038683, -88.06753558763484, -162.3932939004885, -18.4992935650031, -12.119775945771629, -93.2405400931154, -194.48604990992172, -74.18046123996552, 126.75110306045701, -175.69338613141062, 196.14749181405512, 151.5523886116303, 33.10629780326114, -67.53630437849529, -106.02183091564683, -44.011430337752856, 51.56475037350603, 131.85911596526063]"
41,"[101.41037508329262, 189.48200807033717, 182.99123122618008, -156.6046452938311, 56.946384278665874, -206.53090470154424, -106.79965436411402, -137.61791852880944, -175.38253880920433, -225.01066341417754, 170.1256077816827, 202.18441073890168, 6.925127348242334, 170.30096860277936, -87.84137154198285, -162.25253885553275, -18.411265929055844, -12.108406474259787, -93.06987001160442, -194.53370340731828, -74.45309003923862, 126.65685555119856, -175.43788140145995, 195.74249190764016, 151.24031354615352, 32.79339516390668, -67.65105975522346, -106.27872878420743, -43.778710535552975, 51.457090115295664, 132.40274291537585]"
42,"[101.28441569653806, 189.21031889317916, 182.9179024045814, -156.65805304399117, 56.969641240249985, -206.51589156759934, -106.63261883523981, -137.70783180083845, -175.2005312143695, -225.11094747705607, 170.18975623285945, 202.1253697684374, 6.999966853639293, 170.29284224282924, -87.59551311868893, -162.19984906299507, -18.31831199520338, -12.16891833891097, -93.02659707073684, -194.53391176478993, -74.65103506502311, 126.38763323147637, -175.3023044079029, 195.45430167799606, 151.071683188652, 32.454511412921036, -67.90939898643953, -106.32420183513838, -43.566702829762214, 51.14008005406674, 132.87301755231542]"
43,"[101.25228357678871, 188.96716363619464, 182.76804832036555, -156.56333153715326, 56.944469296085124, -206.4658217263676, -106.49798774555028, -137.67374250129316, -175.08303907026763, -225.12980167656053, 170.2665814331644, 202.0227430695763, 6.9988510673583875, 170.32716064293058, -87.42961707921486, -162.2307359607242, -18.09670833888258, -11.868830551746278, -92.9692525184391, -194.51078255948133, -74.70666611811143, 126.18878940037774, -175.1213074417517, 195.09856307123647, 151.08029394222487, 32.050931299687235, -68.03935073425359, -106.46831964515093, -43.417447357810936, 50.92764679715236, 133.22303741349438]"
